MAJOR;I:MAJ,IV:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,VII:MAJ,VI:MIN,#IV:DIM,#V:DIM,III:MAJ,VI:MAJ,II:MIN,V:MAJ,I:MAJ,VI:MIN,I:MAJ,V:MAJ,I:MAJ,II:MIN,I:MAJ,VI:MIN,II:MIN,bVII:MAJ,I:MAJ,III:DIM,II:MAJ,#IV:DIM,IV:MIN,I:MAJ,#IV:DIM,V:MAJ,I:MAJ,III:MAJ,IV:MAJ,II:MIN,V:MAJ,I:MAJ,VI:MIN,#IV:DIM,V:MAJ,IV:MAJ,VII:DIM,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,#IV:DIM,V:MAJ,I:MAJ,VI:MIN,#IV:DIM,V:MAJ,I:MAJ,IV:MAJ,VII:DIM,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:AUG,IV:MAJ,II:MIN,V:MAJ,I:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,#IV:DIM,V:MAJ,I:MAJ,VI:MIN,VI:MAJ,II:MIN
MAJOR;bIII:MAJ,III:DIM,III:MAJ,VI:MIN,III:MAJ,VI:MIN,III:MAJ,VI:MIN,III:MAJ,VI:MIN,III:MAJ,VI:MIN,#V:DIM,VI:MIN,#IV:DIM,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,V:MAJ,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,#IV:DIM,bIII:MAJ,VI:DIM,bVII:MAJ,VII:MAJ,IV:MIN,VII:DIM,V:MAJ,I:MAJ,#IV:DIM,V:MAJ,IV:MAJ,VII:DIM,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,V:MAJ,VI:MIN,I:MAJ,IV:MAJ,I:MAJ,V:MAJ,I:MAJ
MAJOR;I:MAJ,VI:MIN,#IV:DIM,V:MAJ,IV:MAJ,VII:DIM,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,II:MIN,#IV:DIM,V:MAJ,I:MAJ,VI:MIN,III:MAJ,IV:MAJ,VI:MAJ,II:MIN,VI:MAJ,II:MIN,#II:DIM,VI:MIN,#II:DIM,III:MIN,VII:MAJ,III:MIN,VII:MAJ,III:MIN
MINOR;#VII:DIM,IV:MIN,#VII:DIM,V:MAJ,I:MIN,V:MAJ,#VII:DIM,I:MIN,VI:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,VI:MAJ,V:MAJ,I:MIN,IV:MIN,V:MAJ,I:MIN,IV:MIN,V:MIN,V:MAJ,#VII:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,VII:MIN,I:MIN,IV:MIN,#III:DIM,IV:MIN,I:MIN,V:MAJ,II:DIM,V:MAJ,I:MIN,VI:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,#VII:DIM,I:MIN,V:MAJ,#VII:DIM,I:MIN,V:MAJ,I:MIN
MAJOR;VII:MAJ,III:MIN,#VI:DIM,#IV:MAJ,#II:DIM,III:MIN,#IV:DIM,III:MIN,VI:MIN,VII:MAJ,III:MAJ,VI:MIN,IV:MAJ,III:MAJ,VI:MIN,II:MAJ,V:MAJ,VI:MIN,#II:DIM,III:MIN,VII:MAJ,III:MIN,VII:MAJ,III:MIN,VII:MAJ,III:MIN,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,V:MAJ,VI:MIN,I:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,II:MIN,V:MAJ,I:MAJ,VI:MIN,#IV:DIM,V:MAJ,IV:MAJ,V:MAJ,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:AUG,IV:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MAJ,II:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,III:DIM,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,#IV:DIM,IV:MAJ,VI:MIN,#IV:DIM,II:MAJ,V:MAJ,IV:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,#IV:DIM,V:MAJ,IV:MAJ,I:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,V:MAJ,VI:MIN,#I:DIM,II:MIN,#I:DIM,II:MIN,III:MAJ,II:MIN,#II:MAJ,VI:MAJ,II:MAJ,#V:DIM,bVII:MAJ,#V:MAJ,VI:MAJ,II:MIN,#II:DIM,VI:MIN,#IV:DIM,#II:DIM,#IV:DIM,VI:MIN,#IV:DIM,#II:DIM,#IV:DIM,VI:MIN,#IV:DIM,#II:DIM,I:MAJ,II:MAJ,V:MAJ,I:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,#I:DIM,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,#I:DIM,II:MIN,V:MAJ,III:MAJ,VI:MIN,III:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,#IV:DIM,VII:DIM,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,#IV:DIM,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ
MINOR;V:MAJ,I:MIN,V:MAJ,I:MIN,II:DIM,I:MIN,II:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MIN,II:MAJ,V:MIN,II:MAJ,#IV:DIM,V:MIN,II:MAJ,V:MIN,III:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,#VI:DIM,II:MAJ,V:MAJ,I:MIN,V:MAJ,#IV:MAJ,V:MAJ,V:MIN,IV:MIN,I:MIN,#VII:DIM,I:MIN,IV:MIN,V:MAJ,#I:DIM,V:MAJ,II:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MIN,II:DIM,I:MIN,#VII:DIM,I:MIN,VI:MAJ,V:MAJ,VI:MAJ,IV:MIN,II:DIM,V:MAJ,II:DIM,I:MIN,II:DIM,V:MAJ,I:MIN
MAJOR;I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,VI:MIN,II:MIN,VI:MIN,II:MIN,VI:MIN,II:MIN,VI:MIN,II:MIN,VI:MIN,II:MAJ,V:MAJ,II:MAJ,V:MAJ,II:MAJ,V:MAJ,II:MAJ,V:MAJ,VI:MAJ,II:MAJ,V:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,III:DIM,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,bVII:MAJ,V:MIN,I:MAJ,IV:MAJ,II:MIN,V:MAJ,III:MIN,VI:MIN,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,VI:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MAJ,#IV:DIM,II:MAJ,#IV:DIM,II:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,II:MAJ,V:MAJ,I:MAJ,VI:MIN,IV:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VII:DIM
MINOR;I:MIN,IV:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,#III:DIM,IV:MIN,V:DIM,IV:MIN,#III:DIM,IV:MIN,V:MAJ,IV:MIN,V:MAJ,IV:MIN,V:MAJ,IV:MIN,V:MAJ,IV:MIN,V:MAJ,IV:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,II:DIM,I:MIN,II:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MIN,II:MAJ,V:MIN,II:MAJ,#IV:DIM,V:MIN,II:MAJ,V:MIN,III:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,#VI:DIM,II:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,V:MIN,IV:MIN,I:MIN,V:MAJ,I:MIN,IV:MIN,V:MAJ,#I:DIM,V:MAJ,II:DIM,V:MAJ,I:MIN,#VII:DIM,I:MIN,II:DIM,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,#VII:DIM,I:MIN,II:DIM,I:MIN,I:MAJ,IV:MIN,I:MAJ,I:MIN,II:DIM,I:MIN,#VII:DIM,I:MIN,VI:MAJ,V:MAJ,IV:MIN,V:MAJ,IV:MIN,II:DIM,V:MAJ,II:DIM,I:MIN,II:DIM,V:MAJ,I:MIN
MAJOR;I:MAJ,II:MIN,VII:DIM,VI:MIN,I:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,II:MIN,V:MAJ,VI:MIN,V:MAJ,I:MAJ,VI:MAJ,II:MIN,V:MAJ,I:MAJ,II:MIN,V:MAJ,I:MAJ,II:MIN,V:MAJ,I:MAJ,VI:MIN,I:MAJ,IV:MAJ,I:MIN,II:MAJ,#II:DIM,III:MIN,#II:DIM,III:MIN,I:MAJ,#IV:DIM,V:MAJ,#V:DIM,VI:MIN,VII:DIM,I:MAJ,#II:DIM,III:MIN,I:MAJ,#IV:DIM,V:MAJ,VI:MAJ,#IV:DIM,V:MAJ,#VI:DIM,VII:MIN,VI:MAJ,#I:DIM,II:MAJ,V:MAJ,VI:MIN,II:MAJ,#IV:DIM,V:MAJ,VI:MIN,II:MAJ,#IV:DIM,V:MAJ,VI:MIN,II:MAJ,V:MAJ,VI:MIN,I:MAJ,II:MIN,V:MAJ,I:MAJ,V:MAJ,I:MAJ,II:MIN,V:MAJ,VI:MIN,V:MAJ,VI:MAJ,II:MIN,VI:MAJ,II:MIN,II:MAJ,V:MAJ,II:MAJ,V:MAJ,V:AUG,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,#I:DIM,VI:MAJ,II:MIN,VI:MAJ,II:MIN,II:MAJ,V:MAJ,II:MAJ,V:MAJ,III:MAJ,VI:MIN,#V:DIM,VI:MIN,II:MIN,VII:DIM,I:MAJ,#I:DIM,II:MIN,IV:MAJ,III:DIM,IV:MAJ,#V:DIM,VI:MIN,II:MAJ,VII:DIM,I:MAJ,II:MAJ,#II:MAJ,III:MAJ,VII:DIM,III:MAJ,#II:MAJ,III:MAJ,VII:DIM,III:MAJ,#II:MAJ,IV:MAJ,#IV:DIM,VI:DIM,#IV:DIM,V:MAJ,I:MAJ,II:MIN,V:MAJ,VII:DIM,I:MAJ,II:MIN,V:MAJ,VII:DIM,I:MAJ,II:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,bVII:MAJ,III:DIM,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ
MINOR;V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,VI:MAJ,I:MAJ,IV:MIN,I:MAJ,IV:MIN,#VI:DIM,III:MAJ,#VI:DIM,VII:MAJ,#VII:DIM,I:MIN,V:MAJ,I:MIN,I:MAJ,IV:MIN,I:MAJ,IV:MIN,V:MAJ,I:MIN,V:MAJ,#VII:DIM,I:MIN,V:MAJ,I:MIN,IV:MIN,VII:MAJ,III:MAJ,II:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN
