MAJOR;I:MAJ,VII:DIM,I:MAJ,#IV:DIM,VI:MIN,#IV:DIM,I:MAJ,#IV:DIM,VI:MIN,#IV:DIM,I:MAJ,#IV:DIM,VI:MIN,I:MAJ,II:MIN,IV:MAJ,V:MAJ,I:MAJ,VII:DIM,I:MAJ,II:MAJ,II:MIN,I:MAJ,II:MIN,IV:MAJ,#V:DIM,VI:MIN,II:MIN,IV:MAJ,V:MAJ,I:MAJ
MINOR;I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,III:MAJ,III:AUG,#VI:DIM,VII:MAJ,I:MIN,IV:MIN,#IV:DIM,V:MIN,VI:MAJ,III:MAJ,IV:MIN,I:MIN,VI:MAJ,IV:MIN,II:DIM,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,III:MAJ,III:AUG,#VI:DIM,VII:MAJ,I:MIN,IV:MIN,#IV:DIM,V:MIN,VI:MAJ,III:MAJ,IV:MIN,I:MIN,VI:MAJ,IV:MIN,II:DIM,V:MAJ
MAJOR;I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,III:MIN,I:MAJ,III:MIN,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,#VI:DIM,III:MIN,I:MAJ
MINOR;I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,III:MAJ,III:AUG,#VI:DIM,VII:MAJ,I:MIN,IV:MIN,#IV:DIM,V:MIN,VI:MAJ,III:MAJ,IV:MIN,I:MIN,VI:MAJ,IV:MIN,II:DIM,V:MAJ
MAJOR;I:MAJ,I:MIN
MAJOR;V:MAJ,I:MAJ,IV:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,III:MAJ,VI:MIN,IV:MAJ,VII:DIM,VI:MIN,II:MIN,V:MAJ,I:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VI:MIN,II:MIN,V:MAJ,I:MAJ
MINOR;I:MIN,VII:MAJ,bII:MAJ,IV:MIN,V:MAJ,I:MIN,VII:MAJ,bII:MAJ,IV:MIN
MAJOR;V:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,III:MIN,VI:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VI:MIN,II:MIN,III:MAJ,VI:MIN,IV:MAJ,VII:DIM,VI:MIN,III:MAJ,II:MIN,V:MAJ,I:MAJ
MINOR;I:MIN,VI:MAJ,I:MIN,IV:MIN,I:MIN,V:MIN,III:MAJ,V:MIN,II:MAJ,V:MAJ,I:MIN,VI:MAJ,I:MIN,IV:MIN,I:MIN,V:MIN,III:MAJ,V:MIN,II:MAJ,V:MAJ,#IV:DIM,II:MAJ,#IV:DIM,V:MAJ,#IV:DIM,II:MAJ,#IV:DIM,IV:MAJ,#IV:DIM,VI:MAJ,I:MIN,II:MAJ,V:MAJ,I:MIN,VI:MAJ,I:MIN,IV:MIN,I:MIN,V:MIN,III:MAJ,V:MIN,II:MAJ,V:MAJ,#IV:DIM,II:MAJ,#IV:DIM,V:MAJ,#IV:DIM,II:MAJ,#IV:DIM,IV:MAJ,#IV:DIM,VI:MAJ,I:MIN,II:MAJ,V:MAJ,I:MIN,VI:MAJ,I:MIN,IV:MIN,I:MIN,V:MIN,III:MAJ,V:MIN,II:MAJ,V:MAJ,I:MIN,VI:MAJ,I:MIN,IV:MIN,I:MIN,IV:MIN,bII:MAJ,V:MAJ,I:MIN,IV:MIN,I:MIN,IV:MIN,I:MIN
MINOR;I:MIN,#VII:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,I:MIN,II:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,IV:MIN,VII:MAJ,V:MIN,bII:MAJ,IV:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,VI:MAJ,II:DIM,V:DIM,I:MAJ,IV:MIN,II:MAJ,V:MAJ,I:MIN,#VII:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,I:MIN,II:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,IV:MIN,bII:MAJ,IV:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,VI:MAJ,II:DIM,V:DIM,I:MAJ,IV:MIN,II:MAJ,V:MAJ,I:MIN,#VII:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,I:MIN,II:DIM,I:MIN,#VII:DIM,IV:MIN,#VII:DIM,IV:MIN,bII:MAJ,IV:MIN,V:MAJ,I:MIN
