MINOR;I:MIN,V:MIN,IV:MIN,I:MAJ,I:MIN,II:MIN,IV:MAJ,V:MAJ,I:MAJ,I:MIN,VII:MAJ,IV:MIN,V:MAJ,V:MIN,#III:DIM,II:MAJ,II:MIN,V:MAJ,IV:MAJ,V:MAJ,I:MAJ,I:MIN,V:MIN,I:MAJ,IV:MAJ,V:MIN,I:MIN,II:MAJ,V:MIN,III:MAJ,VII:MAJ,III:MAJ,I:MIN,V:MAJ,I:MIN,V:MIN,VI:MAJ,III:MAJ,IV:MIN,I:MIN,VI:MAJ,V:MAJ,IV:MIN,V:MAJ,I:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VII:MAJ,III:MAJ,VI:MAJ,V:MAJ,I:MIN,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,VII:MAJ,IV:MAJ,V:MIN,I:MIN,II:MAJ,V:MIN,II:MIN,III:MAJ,VII:MAJ,IV:MAJ,V:MIN,I:MAJ,IV:MIN,II:DIM,V:MAJ,I:MIN
MAJOR;I:MAJ,II:MAJ,V:MAJ,III:MIN,VI:MIN,VII:DIM,III:MAJ,VI:MIN,IV:MAJ,bVII:MAJ,V:MIN,VI:MIN,II:MAJ,V:MAJ,I:MAJ,V:MAJ,VI:MIN,V:MAJ,VI:MIN,III:MIN,II:MIN,III:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,V:MAJ,#IV:DIM,V:MAJ,VI:MIN,V:MAJ,IV:MAJ,III:MIN,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,VI:MIN,II:MAJ,III:MAJ,VI:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MAJ,III:MIN,I:MAJ,IV:MAJ,II:MIN,V:MAJ,I:MAJ,IV:MAJ,V:MAJ,I:MAJ,V:MAJ,VI:MIN,V:MAJ,VI:MIN,III:MIN,II:MIN,III:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,V:MAJ,#IV:DIM,V:MAJ,VI:MIN,V:MAJ,IV:MAJ,III:MIN,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,bVII:MAJ,VI:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,V:MAJ,VI:MAJ,II:MAJ,V:MAJ,II:MAJ,III:MIN,I:MAJ,V:MAJ,II:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,VI:MIN,IV:MAJ,V:MAJ,I:MAJ,V:MAJ,VI:MIN,V:MAJ,VI:MIN,III:MIN,II:MIN,III:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,V:MAJ,#IV:DIM,V:MAJ,VI:MIN,V:MAJ,IV:MAJ,III:MIN,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,VI:MAJ,II:MIN,VI:MIN,IV:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,II:MIN,IV:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,V:MAJ,IV:MAJ,I:MAJ,III:DIM,IV:MAJ,I:MAJ
MINOR;I:MIN,IV:MAJ,V:MAJ,I:MIN,IV:MAJ,V:MIN,II:MAJ,V:MIN,IV:MIN,III:MAJ,VII:MAJ,III:MAJ,IV:MIN,V:MAJ,I:MIN,II:MIN,VII:MAJ,IV:MAJ,VII:MAJ,I:MIN,II:MAJ,II:MIN,III:MAJ,IV:MAJ,V:MIN,bVI:MAJ,V:MAJ,I:MIN,IV:MAJ,VII:MAJ,I:MAJ,IV:MAJ,II:MIN,V:MIN,IV:MAJ,VII:MAJ,V:MIN,I:MIN,#VI:DIM,II:MAJ,V:MAJ,V:MIN,II:MIN,III:MAJ,I:MIN,IV:MAJ,I:MIN,III:MAJ,V:MIN,IV:MAJ,I:MIN,II:MAJ,IV:MAJ,V:MAJ,#VI:MAJ,II:MIN,I:MAJ,II:MAJ,V:MIN,#VI:DIM,II:MAJ,V:MAJ,I:MAJ,II:MAJ,V:MAJ,I:MIN,VII:MAJ,III:MAJ,IV:MIN,V:MIN,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,V:MIN,IV:MAJ,I:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VII:MAJ,I:MIN,IV:MAJ,V:MAJ,I:MIN,V:MIN,IV:MAJ,III:MAJ,II:MIN,I:MIN,II:MIN,III:MAJ,IV:MAJ,VII:MAJ,III:MAJ,I:MIN,I:MAJ,IV:MIN,I:MIN,IV:MIN,V:MIN,I:MIN,V:MIN,bVI:MAJ,V:MIN,IV:MIN,V:MAJ,I:MIN,V:MIN,III:MAJ,VII:MAJ,III:MAJ,V:MIN,IV:MAJ,VII:MAJ,III:MAJ,IV:MAJ,I:MAJ,I:MIN,IV:MAJ,VII:MAJ,V:MIN,I:MIN,V:MIN,bVI:MAJ,V:MAJ,I:MIN,IV:MAJ,VII:MAJ,III:MAJ,IV:MAJ,V:MAJ,I:MIN,VII:MAJ,IV:MAJ,V:MAJ,I:MAJ,I:MIN,IV:MAJ,III:MAJ,bVI:MAJ,V:MAJ,I:MIN,V:MIN,III:MAJ,IV:MAJ,V:MAJ,I:MIN,V:MIN,III:MAJ,IV:MIN,VII:MAJ,III:MAJ,VII:MAJ,I:MIN,II:MAJ,V:MIN,I:MAJ,IV:MAJ,III:MAJ,VII:MAJ,III:MAJ,IV:MAJ,II:MIN,I:MAJ,I:MIN,IV:MIN,II:MIN,V:MIN,III:MAJ,bVI:MAJ,VII:MAJ,III:MAJ,V:MAJ,I:MIN,II:MAJ,V:MIN,III:MAJ,IV:MIN,V:MIN,IV:MIN,V:MAJ,V:MIN,I:MAJ,IV:MAJ,VII:MAJ,III:MAJ,bVI:MAJ,III:MAJ,IV:MAJ,V:MAJ,bVI:MAJ,III:MAJ,II:MIN,IV:MAJ,V:MAJ,I:MIN
MINOR;III:MAJ,bVI:MAJ,I:MAJ,IV:MAJ,VII:MAJ,II:MAJ,V:MIN,VI:MAJ,VII:MAJ,III:MAJ,IV:MIN,VII:MAJ,III:MAJ,VII:MAJ,VII:MIN,IV:MAJ,I:MIN,V:MAJ,II:MIN,#VI:MAJ,VI:MIN,IV:MAJ,VII:MAJ,V:MIN,I:MAJ,V:MIN,I:MAJ,IV:MAJ,VII:MAJ,V:MIN,I:MAJ,VI:MIN,II:MAJ,V:MIN,III:MAJ,VII:MAJ,V:MIN,IV:MIN,I:MAJ,IV:MAJ,IV:MIN,I:MAJ,VI:MIN,V:MIN,II:MAJ,V:MAJ,I:MIN,VII:MAJ,V:MIN,bVI:MAJ,V:MAJ,I:MIN,VII:MAJ,III:MAJ,bVI:MAJ,III:MAJ,VII:MAJ,III:MAJ,IV:MAJ,VII:MAJ,V:MIN,IV:MIN,V:MIN,I:MAJ,IV:MAJ,VII:MAJ,I:MAJ,IV:MAJ,VI:MAJ,III:MAJ,IV:MIN,VII:MAJ,III:MAJ,VI:MAJ,VII:MAJ,III:MAJ,I:MIN,II:MIN,III:MAJ,I:MIN,IV:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,V:MIN,IV:MIN,V:MAJ,I:MIN,V:MIN,IV:MAJ,VII:MAJ,I:MIN,VII:MAJ,bVI:MAJ,I:MIN,VII:MAJ,III:MAJ,bVI:MAJ,III:MAJ,VII:MAJ,IV:MIN,I:MIN,III:MAJ,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,VII:MAJ,I:MIN,II:MIN,I:MIN,II:MAJ,VII:MAJ,II:MIN,III:MAJ,bVI:MAJ,I:MIN,II:DIM,V:MAJ,#VII:DIM,I:MIN,II:MIN,V:MAJ,I:MIN,II:MAJ,V:MIN,II:MAJ,V:MIN,#VI:MAJ,IV:MAJ,VII:MAJ,III:MAJ,V:MAJ,#VII:DIM,I:MIN,V:MAJ,I:MIN,VII:MAJ,III:MAJ,IV:MIN,VII:MAJ,bVI:MAJ,V:MIN,IV:MIN,III:MAJ,IV:MIN,VII:MAJ,III:MAJ,I:MAJ,IV:MAJ,II:MAJ,V:MIN,III:MAJ,II:MIN,I:MIN,VII:MAJ,IV:MAJ,V:MIN,IV:MAJ,VII:MAJ,V:MAJ,I:MIN,bVI:MAJ,V:MIN,IV:MIN,III:MAJ,II:MIN,I:MIN,V:MAJ,IV:MAJ,V:MAJ,I:MIN
MAJOR;I:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,VII:DIM,I:MAJ,V:MAJ,I:MAJ,II:MAJ,V:MAJ,VI:MIN,IV:MAJ,bVII:MAJ,II:MIN,I:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,IV:MAJ,II:MIN,I:MAJ,II:MIN,VII:DIM,I:MAJ,bVII:MAJ,VI:MIN,V:MAJ,I:MAJ,V:MIN,II:MAJ,VI:MAJ,II:MIN,I:MAJ,IV:MAJ,II:MIN,I:MAJ,II:MAJ,V:MAJ,V:MIN,II:MIN,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,II:MIN,IV:MAJ,bVII:MAJ,I:MAJ,IV:MAJ,II:MIN,IV:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,V:MIN,II:MAJ,V:MIN,II:MAJ,V:MIN,II:MIN,III:DIM,VI:MIN,bVII:MAJ,II:MIN,VI:MAJ,II:MIN,V:MIN,II:MIN,IV:MAJ,I:MAJ,IV:MAJ,I:MAJ,V:MIN,VI:MAJ,II:MIN,bVII:MAJ,I:MAJ,IV:MAJ,V:MAJ,I:MAJ,II:MAJ,V:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,V:MAJ,I:MAJ,II:MAJ,V:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,I:MAJ,V:MAJ,I:MAJ
MINOR;I:MIN,V:MAJ,I:MIN,III:MAJ,I:MAJ,IV:MAJ,II:MAJ,V:MIN,bIII:MAJ,bVI:MAJ,IV:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,I:MIN,V:MAJ,I:MIN,III:MAJ,I:MAJ,IV:MAJ,II:MAJ,V:MIN,bIII:MAJ,bVI:MAJ,IV:MAJ,VII:MAJ,III:MAJ,VI:MAJ,VII:MAJ,III:MAJ,V:MIN,III:MAJ,IV:MIN,#VII:DIM,I:MAJ,IV:MAJ,VII:MAJ,IV:MAJ,VII:MAJ,IV:MAJ,VII:MAJ,IV:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,III:MAJ,VII:MAJ,IV:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,IV:MIN,I:MAJ,IV:MAJ,II:MIN,I:MIN,V:MAJ,I:MIN,II:MAJ,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,#VI:MAJ,II:MIN,#VI:MAJ,II:MIN,#VI:MAJ,II:MIN,I:MAJ,VII:MAJ,II:MIN,#VI:MAJ,II:MIN,VII:MAJ,IV:MIN,II:DIM,III:MAJ,VII:MAJ,I:MIN,V:MAJ,IV:MIN,V:MAJ,I:MAJ,VII:MAJ,IV:MAJ,II:MIN,III:MAJ,IV:MAJ,VII:MAJ,V:MIN,IV:MIN,III:MAJ,II:MIN,I:MIN,#VII:DIM,I:MIN,IV:MIN,V:MIN,VII:MAJ,I:MIN,VII:MAJ,IV:MAJ,I:MIN,#VII:DIM,I:MIN,IV:MIN,V:MIN,III:MAJ,IV:MAJ,#VII:DIM,I:MIN,bVI:MAJ,VII:MAJ,V:MIN,bVI:MAJ,IV:MIN,V:MIN,III:MAJ,VII:MAJ,III:MAJ,I:MIN,V:MIN,II:MAJ,V:MIN,III:MAJ,VII:MAJ,I:MIN,IV:MIN,V:MIN,III:MAJ,VII:MAJ,bVI:MAJ,III:MAJ,IV:MIN,V:MAJ,VII:MAJ,I:MIN,VII:MAJ,I:MIN,III:MIN,VII:MAJ,IV:MAJ,V:MIN,III:MAJ,VII:MAJ,IV:MIN,I:MAJ,IV:MAJ,V:MIN,bVI:MAJ,III:MAJ,IV:MIN,I:MIN,V:MAJ,I:MIN
MAJOR;I:MAJ,II:MIN,I:MAJ,VI:MIN,V:MAJ,IV:MAJ,V:MAJ,I:MAJ,II:MIN,I:MAJ,VI:MIN,V:MAJ,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,V:MIN,VI:MIN,I:MAJ,IV:MAJ,V:MAJ,V:MIN,VI:MIN,III:DIM,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,V:MAJ,I:MAJ,VI:MIN,II:MAJ,V:MIN,VI:MAJ,II:MIN,I:MAJ,IV:MAJ,bVII:MAJ,I:MAJ,IV:MAJ,I:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,VI:MAJ,II:MIN,bVII:MAJ,IV:MAJ,II:MIN,I:MAJ,bVII:MAJ,VI:MAJ,II:MIN,V:MIN,IV:MAJ,bIII:MAJ,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MIN,I:MAJ,IV:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,VI:MIN,V:MIN,II:MIN,V:MIN,VI:MIN,II:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MAJ,V:MIN,II:MAJ,III:MIN,IV:MAJ,V:MAJ,VI:MAJ,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,bVII:MAJ,bIII:MAJ,bVII:MAJ,II:MIN,I:MAJ,IV:MAJ,bVII:MAJ,IV:MAJ,VI:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,II:MAJ,I:MAJ,II:MAJ,V:MIN,IV:MAJ,VI:MIN,V:MAJ,I:MAJ
MINOR;I:MIN,VI:MAJ,IV:MIN,I:MIN,VI:MAJ,IV:MIN,I:MIN,III:MAJ,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,I:MIN,VII:MAJ,I:MIN,V:MAJ,I:MIN,II:DIM,V:MAJ,VI:MAJ,V:MIN,I:MAJ,IV:MIN,VII:MAJ,V:MIN,I:MIN,VI:MAJ,I:MIN,IV:MAJ,VII:MAJ,V:MIN,I:MIN,IV:MAJ,VII:MAJ,III:MAJ,V:MAJ,I:MIN,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,VI:MAJ,VII:MAJ,III:MAJ,IV:MAJ,V:MIN,I:MIN,#VII:DIM,I:MIN,II:DIM,V:MAJ,I:MIN,VII:MAJ,I:MAJ,IV:MIN,#III:DIM,IV:MIN,V:MIN,I:MAJ,IV:MIN,III:MAJ,IV:MAJ,VII:MAJ,#VI:DIM,VII:MAJ,V:MIN,IV:MIN,VII:MAJ,III:MAJ,VII:MAJ,IV:MIN,V:MIN,IV:MIN,VII:MAJ,I:MIN,II:DIM,#III:DIM,IV:MAJ,V:MIN,I:MIN,II:MAJ,V:MIN,III:MAJ,IV:MAJ,V:MAJ,I:MIN
MINOR;I:MIN,#VI:DIM,V:MIN,VII:MAJ,V:MIN,IV:MIN,VI:MAJ,IV:MIN,III:MAJ,IV:MIN,III:MAJ,VI:MAJ,V:MAJ,II:MIN,IV:MAJ,II:MIN,I:MIN,III:MAJ,I:MIN,VII:MAJ,I:MIN,VII:MAJ,III:MAJ,II:MAJ,V:MIN,III:MAJ,II:MAJ,I:MIN,II:MIN,V:MAJ,I:MIN,IV:MIN,V:MIN,I:MAJ,IV:MAJ,V:MIN,I:MIN,IV:MAJ,VII:MAJ,V:MAJ,I:MIN,V:MIN,II:MIN,I:MIN,IV:MAJ,I:MIN,V:MAJ,III:MAJ,II:MIN,I:MIN,VII:MAJ,V:MIN,IV:MIN,III:MAJ,VII:MAJ,III:MAJ,IV:MAJ,V:MAJ,VI:MAJ,II:DIM,V:MAJ,I:MIN,VII:MAJ,III:MAJ,VI:MAJ,VII:MAJ,III:MAJ,IV:MAJ,VII:MAJ,I:MAJ,IV:MAJ,V:MIN,I:MIN,VII:MAJ,III:MAJ,VI:MAJ,IV:MIN,V:MAJ,I:MIN,V:MIN,IV:MAJ,VII:MAJ,V:MIN,II:MAJ,V:MIN,II:MAJ,V:MIN,II:MAJ,II:MIN,V:MIN,I:MIN,V:MIN,II:MAJ,I:MIN,II:MAJ,V:MIN,III:MAJ,IV:MAJ,VII:MAJ,III:MAJ,IV:MIN,VII:MAJ,III:MAJ,VII:MAJ,III:MAJ,IV:MIN,I:MIN,VII:MAJ,II:MIN,I:MIN,V:MIN,IV:MAJ,VII:MAJ,III:MAJ,I:MIN,VII:MAJ,IV:MIN,I:MIN,V:MIN,II:MIN,#VII:DIM,I:MIN,#VI:DIM,VII:MAJ,V:MIN,IV:MAJ,III:MAJ,V:MIN,#VI:MIN,II:MAJ,V:MIN,I:MIN,IV:MAJ,III:MAJ,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,I:MIN,VII:MAJ,VI:MAJ,VII:MAJ,IV:MAJ,VII:MAJ,V:MIN,IV:MAJ,III:MAJ,IV:MIN,I:MAJ,IV:MAJ,VII:MAJ,#VI:DIM,VII:MAJ,II:MIN,#VI:MAJ,II:MIN,VII:MAJ,IV:MAJ,VII:MAJ,V:MIN,II:MAJ,V:MIN,I:MIN,#VII:DIM,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,IV:MAJ,III:MAJ,VI:MAJ,III:MAJ,VII:MAJ,III:MAJ,I:MIN,VII:MAJ,VI:MAJ,VII:MAJ,IV:MAJ,VII:MAJ,V:MIN,IV:MAJ,III:MAJ,IV:MIN,I:MAJ,IV:MAJ,VII:MAJ,#VI:DIM,VII:MAJ,II:MIN,#VI:MAJ,II:MIN,VII:MAJ,IV:MAJ,VII:MAJ,V:MIN,II:MAJ,V:MIN,I:MIN,#VII:DIM,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN,V:MAJ,I:MIN
MAJOR;I:MAJ,VI:MIN,bVII:MAJ,V:MAJ,I:MAJ,V:MAJ,I:MAJ,VI:MIN,II:MIN,bVII:MAJ,V:MAJ,I:MAJ,V:MAJ,IV:MAJ,V:MAJ,I:MAJ,II:MIN,I:MAJ,II:MIN,I:MAJ,II:MIN,V:MAJ,VI:MIN,V:MIN,II:MAJ,V:MIN,I:MIN,V:MAJ,I:MAJ,VI:MIN,II:MIN,bVII:MAJ,V:MIN,I:MAJ,VI:MIN,V:MAJ,I:MAJ,VI:MIN,II:MIN,bVII:MAJ,V:MIN,I:MAJ,V:MAJ,IV:MAJ,I:MAJ,VII:DIM,I:MAJ,II:MIN,V:MAJ,I:MAJ,IV:MAJ,I:MAJ,IV:MAJ,V:MAJ,VI:MIN,IV:MAJ,V:MAJ,I:MAJ,VI:MAJ,II:MIN,V:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,bVII:MAJ,I:MAJ,IV:MAJ,VI:MIN,II:MIN,V:MIN,VI:MAJ,II:MIN,VI:MAJ,II:MIN,bVII:MAJ,I:MAJ,bIII:MAJ,II:MAJ,V:MIN,I:MAJ,II:MIN,I:MAJ,V:MAJ,I:MAJ,V:MIN,II:MIN,I:MAJ,IV:MAJ,bVII:MAJ,I:MIN,II:MAJ,V:MAJ,I:MAJ,IV:MAJ,I:MAJ
