,,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
WFBach,I:MIN,0.9166666666666666,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.9166666666666666,0.9047619047619048,0.9404761904761905,0.9166666666666666,0.9404761904761905,0.8928571428571429
WFBach,V:MAJ,0.6708860759493671,0.6075949367088608,0.5443037974683544,0.6329113924050633,0.5822784810126582,0.5822784810126582,0.5949367088607594,0.5443037974683544,0.5316455696202531,0.5569620253164557
WFBach,IV:MIN,0.6,0.325,0.35,0.325,0.275,0.375,0.4,0.45,0.525,0.375
WFBach,#VII:DIM,0.24242424242424243,0.2727272727272727,0.18181818181818182,0.15151515151515152,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.15151515151515152,0.18181818181818182,0.24242424242424243
WFBach,#IV:DIM,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.0,0.09523809523809523,0.09523809523809523
WFBach,I:MAJ,0.3,0.35,0.15,0.2,0.2,0.3,0.3,0.3,0.4,0.45
WFBach,II:DIM,0.3125,0.3125,0.25,0.3125,0.4375,0.4375,0.375,0.25,0.25,0.375
WFBach,II:MAJ,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
WFBach,VI:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
WFBach,#III:DIM,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0
WFBach,V:MIN,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,VII:MAJ,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556
WFBach,IV:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,III:MAJ,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
WFBach,II:MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,#IV:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,VI:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,bII:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,VI:MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,#VI:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,V:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,VII:MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFBach,global,0.48556430446194226,0.42782152230971127,0.4094488188976378,0.4199475065616798,0.4146981627296588,0.42782152230971127,0.4330708661417323,0.41732283464566927,0.4461942257217848,0.4356955380577428
Tchaikovsky,I:MIN,0.8248587570621468,0.8135593220338984,0.847457627118644,0.8022598870056498,0.8361581920903954,0.8700564971751412,0.8587570621468926,0.807909604519774,0.864406779661017,0.847457627118644
Tchaikovsky,V:MAJ,0.8606060606060606,0.8727272727272727,0.9030303030303031,0.8424242424242424,0.8848484848484849,0.8121212121212121,0.8424242424242424,0.806060606060606,0.8606060606060606,0.8545454545454545
Tchaikovsky,II:DIM,0.0,0.20408163265306123,0.24489795918367346,0.061224489795918366,0.20408163265306123,0.20408163265306123,0.12244897959183673,0.20408163265306123,0.10204081632653061,0.061224489795918366
Tchaikovsky,VI:MAJ,0.0,0.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.0,0.0,0.10810810810810811,0.0
Tchaikovsky,#VII:DIM,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.32432432432432434,0.0,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.16216216216216217
Tchaikovsky,IV:MIN,0.375,0.4375,0.4375,0.4375,0.6875,0.6875,0.6875,0.4375,0.4375,0.6875
Tchaikovsky,#VI:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchaikovsky,#IV:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchaikovsky,#IV:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchaikovsky,I:MAJ,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333
Tchaikovsky,V:DIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchaikovsky,IV:MAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchaikovsky,VII:MAJ,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0
Tchaikovsky,III:MAJ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
